premium,name,department,has_test,response_letter_required,area,address,employer,snippet,schedule,working_time_intervals,accept_temporary,professional_roles,experience,employment,key_skills,average_salary,min_salary,max_salary,hours_since_publication
False,Разработчик Python,,False,False,Москва,,Гриндата,"{'requirement': 'Python от 2х лет. FastAPI, Flask. PostgreSQL. SQLAlchemy. Oracle, MSSQL. Redis , RabbitMQ. Docker, Gitlab CI / CD. Threading, Subprocess, Asyncio. ', 'responsibility': 'Разработка <highlighttext>ML</highlighttext> сервисов на Python (доработка существующих функционала и разработка нового). Участие в разработке архитектуры сервиса. Оптимизация производительности и масштабируемости...'}",Полный день,,False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,[],,,,27
False,AI/ML Engineer Стажёр,,False,False,Ташкент,,YATT YULDASHEV PULAT BAXTIYOROVICH,"{'requirement': 'Идеальный кандидат уже имеет опыт работы с Telegram API и предпочтительно использует aiogram. Если вы способны создать функционального бота с...', 'responsibility': 'Разработчиков, увлечённых созданием чат-ботов:'}",Гибкий график,Можно сменами по 4-6 часов в день,False,"Программист, разработчик",Нет опыта,Стажировка,"['Python', 'PostgreSQL', 'ORM', 'Git', 'ООП', 'REST API']",,,,77
False,Python-разработчик,,False,False,Москва,"{'city': 'Москва', 'street': 'Пресненская набережная', 'building': '12', 'lat': 55.749537, 'lng': 37.537398, 'description': None, 'raw': 'Москва, Пресненская набережная, 12', 'metro': {'station_name': 'Деловой центр (Выставочная)', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}, 'metro_stations': [{'station_name': 'Деловой центр (Выставочная)', 'line_name': 'Филевская', 'station_id': '4.172', 'line_id': '4', 'lat': 55.750243, 'lng': 37.542641}], 'id': '79083'}",ВТБ Капитал,"{'requirement': 'Python (flask/django, multiprocessing, pandas, numpy). Основы разработки Http сервера (низкая нагрузка). Sql (Postgres/MSSql). ООП, паттерны программирования. Gitlab(администрирование). ', 'responsibility': '...<highlighttext>ML</highlighttext> (поддержка <highlighttext>ML</highlighttext> разработчиков). Автоматизация сбора, хранения данных. Автоматизация обработки данных анализа. Настройка, поддержание ПО на сервере для работы <highlighttext>ML</highlighttext>...'}",Полный день,,False,"Программист, разработчик",Нет опыта,Полная занятость,"['Python', 'SQL', 'Flask', 'Django Framework']",,,,122
False,Стажер ML Engineer,,False,False,Москва,,Ecom.tech,"{'requirement': 'Понимание теории NLP. Наличие проектов связанный с NLP. Общее понимание технологий LLM. Знание pytorch. Будет плюсом: Знание AirFlow.', 'responsibility': 'Коммерческие продукты занимаются управлением жизненным циклом продавца на маркетплейсе: привлечение, удержание, повышение удовлетворенности и остальное . Команда занимается обработкой карточек товаров. '}",Удаленная работа,,False,Дата-сайентист,Нет опыта,Стажировка,[],,,,27
False,Software engineer,,False,False,Астана,,Nazarbayev University,"{'requirement': 'Testing and deployment.  Experience in API development using FastAPI for machine learning.  Familiarity with scaling <highlighttext>ML</highlighttext> models for high traffic...', 'responsibility': 'Efficient performance and scalability. - Monitor and troubleshoot production <highlighttext>ML</highlighttext> systems, ensuring high availability and. Performance. - Design, manage, and optimize database...'}",Полный день,,False,"Программист, разработчик",Нет опыта,Полная занятость,[],,,,35
False,Аналитик данных,,False,False,Санкт-Петербург,,Екомселлер,"{'requirement': 'Уверенное знание clickhouse. Работа с большими объемами данных. Знание Python будет плюсом.', 'responsibility': 'Аналитика больших объемов данных. Формирование аналитических срезов. Разработка систем прогнозирования. Формирование ETL из datalake. Работа с <highlighttext>ML</highlighttext>.'}",Полный день,,False,"BI-аналитик, аналитик данных",Нет опыта,Полная занятость,"['Факторный анализ', 'Формирование аналитической отчетности', 'SQL', 'Clickhouse']",112500.0,90000.0,,118
False,Разработчик Python,,False,False,Пермь,,Гриндата,"{'requirement': 'Python от 2х лет. FastAPI, Flask. PostgreSQL. SQLAlchemy. Oracle, MSSQL. Redis , RabbitMQ. Docker, Gitlab CI / CD. Threading, Subprocess, Asyncio. ', 'responsibility': 'Разработка <highlighttext>ML</highlighttext> сервисов на Python (доработка существующих функционала и разработка нового). Участие в разработке архитектуры сервиса. Оптимизация производительности и масштабируемости...'}",Полный день,,False,"Программист, разработчик",От 1 года до 3 лет,Полная занятость,[],,,,27
False,Аналитик данных,,False,False,Москва,,Lamoda,"{'requirement': 'Опыт использования Python для анализа данных (библиотеки для анализа данных, визуализации данных, <highlighttext>ML</highlighttext>). Хорошие аналитические способности, умение делать выводы и...', 'responsibility': 'Создание регулярных и разовых отчетов для департамента доставки. Проведение аналитики и исследований инициатив и процессов департамента. Написание запросов SQL для...'}",Полный день,,False,Аналитик,От 1 года до 3 лет,Полная занятость,"['SQL', 'Аналитическое мышление']",,,,152
False,Аналитик данных (junior),,False,False,Санкт-Петербург,"{'city': 'Санкт-Петербург', 'street': 'Невский проспект', 'building': '142', 'lat': 59.92984008996423, 'lng': 30.369443711638556, 'description': None, 'raw': 'Санкт-Петербург, Невский проспект, 142', 'metro': None, 'metro_stations': [], 'id': '5765273'}",РЭС ИНЖИНИРИНГ,"{'requirement': 'Знание JavaScript. Опыт работы с NLP-задачами и <highlighttext>ML</highlighttext>-фреймворками (TensorFlow, PyTorch и др.). Знание принципов обучения и написания промптов...', 'responsibility': 'Администрирование собственного портала работы с зарубежными поставщиками на базе AirTable (сбор статистики, техническая поддержка, внедрение нового функционала). Поиск и внедрение...'}",Полный день,,False,Дата-сайентист,Нет опыта,Полная занятость,[],,,,147
False,Data Analyst,,False,False,Москва,,GlowByte,"{'requirement': 'Понимание предметной области: клиентская аналитика, целевой маркетинг, программы лояльности, CRM в банках, телеком-операторах, розничных торговых сетях. Основы <highlighttext>ML</highlighttext> – поиск...', 'responsibility': 'Платформы хранения и анализа данных (DWH/BI). Системы принятия решений и управления рисками. Аналитические и операционные CRM. ORACLE DB, MS...'}",Полный день,,False,"BI-аналитик, аналитик данных",От 1 года до 3 лет,Полная занятость,"['SQL', 'Python', 'ML', 'A/B/n']",,,,624
False,Data analyst (офис),,False,False,Москва,"{'city': 'Москва', 'street': 'улица Дурова', 'building': '26с1', 'lat': 55.778122, 'lng': 37.626502, 'description': None, 'raw': 'Москва, улица Дурова, 26с1', 'metro': {'station_name': 'Проспект Мира', 'line_name': 'Кольцевая', 'station_id': '5.119', 'line_id': '5', 'lat': 55.779584, 'lng': 37.633646}, 'metro_stations': [{'station_name': 'Проспект Мира', 'line_name': 'Кольцевая', 'station_id': '5.119', 'line_id': '5', 'lat': 55.779584, 'lng': 37.633646}, {'station_name': 'Проспект Мира', 'line_name': 'Калужско-Рижская', 'station_id': '6.120', 'line_id': '6', 'lat': 55.781827, 'lng': 37.633199}, {'station_name': 'Сухаревская', 'line_name': 'Калужско-Рижская', 'station_id': '6.137', 'line_id': '6', 'lat': 55.772315, 'lng': 37.63285}], 'id': '4614556'}",ЕВРОПЕЙСКИЙ МЕДИЦИНСКИЙ ЦЕНТР,"{'requirement': 'Понимание классических методов и алгоритмов машинного обучения, опыт их применения на практике. Опыт построения <highlighttext>ML</highlighttext>-моделей для формирования персональных рекомендаций...', 'responsibility': 'Анализ данных, сегментация, выявление закономерностей, next best action, предиктивные модели, подготовка баз данных для различных проектов, коммуникаций. Разработка моделей для...'}",Полный день,,False,"BI-аналитик, аналитик данных",От 3 до 6 лет,Полная занятость,[],,,,217
False,Data Scientist,,False,False,Москва,"{'city': None, 'street': None, 'building': None, 'lat': 55.74146507524133, 'lng': 37.63113245701637, 'description': None, 'raw': 'Москва, Озерковский переулок, 12.', 'metro': None, 'metro_stations': [], 'id': '335836'}",BND LLC,"{'requirement': 'Высшее образование (математическое, техническое). Возможность работать полную рабочую неделю. Знание современных архитектур нейросетей. Понимание как устроены классические алгоритмы машинного обучения...', 'responsibility': 'Собирать и готовить данные для использования в <highlighttext>ML</highlighttext>-моделях. Разработка и поддержка микросервисов на Python, основанных на моделях компьютерного зрения...'}",Полный день,,False,Дата-сайентист,Нет опыта,Полная занятость,"['Computer Vision', 'Python', 'OpenCV', 'NamPy', 'pandas', 'ML', 'SQL', 'TensorPT']",66400.0,,80000.0,73
